               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.025229,             0.01538,            0.011952,             0.68832,             0.68803,             0.71735,             0.47426,            0.025334,           0.0076821,            0.027463,           0.0054856,           0.0054856,           0.0054856
                 116,            0.025069,             0.01544,            0.011446,             0.69705,             0.67256,             0.72257,             0.47297,             0.02511,           0.0077347,            0.027787,            0.005446,            0.005446,            0.005446
                 117,            0.024971,            0.015209,            0.011332,             0.74966,             0.62675,             0.72122,             0.47911,            0.024717,           0.0078366,            0.029247,           0.0054064,           0.0054064,           0.0054064
                 118,            0.024761,            0.015285,            0.011127,             0.73647,             0.65984,             0.72916,             0.48893,            0.024506,           0.0078566,            0.029491,           0.0053668,           0.0053668,           0.0053668
                 119,            0.024999,            0.015315,            0.011337,             0.74649,             0.65047,               0.734,             0.48546,            0.024408,           0.0077963,            0.029565,           0.0053272,           0.0053272,           0.0053272
                 120,            0.024668,            0.015318,            0.011382,             0.78972,             0.61342,             0.74117,             0.49458,            0.024688,           0.0077765,             0.02791,           0.0052876,           0.0052876,           0.0052876
                 121,            0.024639,            0.015255,            0.011041,             0.77068,             0.62486,             0.73408,             0.49006,            0.025048,           0.0078036,            0.028539,            0.005248,            0.005248,            0.005248
                 122,            0.024759,            0.015503,            0.011331,             0.69415,             0.69138,             0.73022,             0.48415,            0.025011,           0.0076496,            0.028803,           0.0052084,           0.0052084,           0.0052084
                 123,            0.024581,            0.014965,            0.010496,             0.69686,             0.68746,             0.72805,             0.48293,            0.025046,           0.0075925,            0.029076,           0.0051688,           0.0051688,           0.0051688
                 124,             0.02456,            0.014989,            0.011443,             0.73397,             0.63915,             0.72657,             0.48486,            0.024799,           0.0076353,            0.029092,           0.0051292,           0.0051292,           0.0051292
                 125,            0.024947,            0.015057,            0.010763,             0.69642,              0.6728,             0.71823,             0.48253,            0.024217,            0.007628,            0.029408,           0.0050896,           0.0050896,           0.0050896
                 126,            0.024586,            0.015195,            0.010418,             0.71519,             0.66488,             0.71942,             0.48269,            0.024134,            0.007628,            0.030044,             0.00505,             0.00505,             0.00505
                 127,             0.02438,            0.015139,            0.010779,             0.70581,             0.68637,             0.72949,             0.48855,            0.024454,           0.0076606,            0.030687,           0.0050104,           0.0050104,           0.0050104
                 128,            0.024293,            0.014916,            0.010544,             0.72818,             0.69856,             0.73876,             0.49753,            0.024428,            0.007685,            0.030395,           0.0049708,           0.0049708,           0.0049708
                 129,            0.024586,            0.014831,            0.010607,             0.73201,              0.6789,             0.73628,             0.49727,             0.02481,            0.007771,            0.029976,           0.0049312,           0.0049312,           0.0049312
                 130,            0.024316,            0.014811,            0.010584,             0.73082,             0.68129,             0.73843,             0.50053,            0.024736,           0.0077959,            0.029046,           0.0048916,           0.0048916,           0.0048916
                 131,            0.024214,            0.014698,            0.010374,             0.70774,              0.7086,             0.74069,             0.49712,            0.024297,            0.007826,            0.028606,            0.004852,            0.004852,            0.004852
                 132,            0.024192,            0.014794,            0.010479,             0.71859,             0.69934,             0.73985,             0.49328,            0.024065,           0.0078598,            0.029559,           0.0048124,           0.0048124,           0.0048124
                 133,            0.024182,            0.014725,            0.010492,             0.71202,             0.69222,             0.73951,              0.4954,            0.023845,           0.0079136,            0.030174,           0.0047728,           0.0047728,           0.0047728
                 134,            0.024348,            0.014742,           0.0098035,             0.75326,             0.66771,             0.74248,             0.49284,            0.023842,           0.0079475,            0.029216,           0.0047332,           0.0047332,           0.0047332
                 135,            0.024038,            0.014979,            0.010388,             0.76607,             0.66713,             0.74356,             0.49399,            0.023948,           0.0078947,            0.028899,           0.0046936,           0.0046936,           0.0046936
                 136,            0.023982,            0.014704,           0.0097471,             0.75399,             0.67377,             0.73894,             0.49408,             0.02389,           0.0078707,            0.029121,            0.004654,            0.004654,            0.004654
                 137,            0.023506,            0.014725,            0.009392,              0.7571,             0.66953,             0.74355,             0.49614,            0.023912,           0.0078747,            0.028526,           0.0046144,           0.0046144,           0.0046144
                 138,            0.023977,            0.014757,           0.0099996,             0.72486,             0.69286,             0.73681,             0.49112,            0.023861,           0.0078487,             0.02911,           0.0045748,           0.0045748,           0.0045748
                 139,            0.023797,            0.014786,            0.010042,             0.71263,              0.7003,             0.73488,             0.49374,            0.023968,           0.0078503,             0.02982,           0.0045352,           0.0045352,           0.0045352
                 140,            0.023895,            0.014531,           0.0098692,             0.70843,             0.69791,             0.73496,             0.49505,            0.023731,           0.0078785,            0.030302,           0.0044956,           0.0044956,           0.0044956
                 141,            0.023878,            0.014539,           0.0097603,             0.72821,             0.67648,              0.7311,             0.49159,            0.023633,           0.0078837,            0.030711,            0.004456,            0.004456,            0.004456
                 142,            0.023586,            0.014526,            0.010114,             0.73695,             0.67827,             0.72917,             0.48903,            0.023595,           0.0078731,             0.03011,           0.0044164,           0.0044164,           0.0044164
                 143,            0.023302,            0.014351,           0.0093709,              0.6824,             0.72361,             0.73445,              0.4924,            0.023658,           0.0079267,              0.0294,           0.0043768,           0.0043768,           0.0043768
                 144,            0.023392,            0.014407,           0.0091025,             0.69776,             0.71143,             0.73577,             0.49132,            0.023589,           0.0079519,            0.029013,           0.0043372,           0.0043372,           0.0043372
                 145,            0.023759,            0.014462,           0.0092752,             0.69781,             0.70634,             0.73437,             0.48906,              0.0236,           0.0079424,            0.028413,           0.0042976,           0.0042976,           0.0042976
                 146,             0.02327,            0.014651,           0.0096066,             0.72146,             0.67535,             0.73726,             0.49291,             0.02372,           0.0078942,            0.028684,            0.004258,            0.004258,            0.004258
                 147,            0.023421,            0.014259,           0.0092613,              0.7283,             0.69154,             0.73535,             0.49208,            0.023787,           0.0078704,            0.029292,           0.0042184,           0.0042184,           0.0042184
                 148,            0.023253,            0.014287,           0.0094878,             0.73618,             0.66723,             0.73724,             0.49101,            0.024064,           0.0078871,            0.029611,           0.0041788,           0.0041788,           0.0041788
                 149,             0.02319,            0.014385,           0.0093183,             0.73652,             0.66221,             0.73205,              0.4903,            0.024156,           0.0078924,            0.029821,           0.0041392,           0.0041392,           0.0041392
                 150,            0.023222,            0.014336,            0.009248,             0.71325,             0.66975,             0.73305,             0.48823,            0.023914,           0.0079241,            0.029901,           0.0040996,           0.0040996,           0.0040996
                 151,            0.023129,            0.014206,           0.0090871,             0.71033,             0.67155,             0.73178,             0.48629,            0.023728,           0.0079458,            0.029724,             0.00406,             0.00406,             0.00406
                 152,            0.022968,            0.014036,           0.0086441,              0.7082,             0.66359,             0.73558,             0.48778,            0.023689,           0.0079839,            0.029344,           0.0040204,           0.0040204,           0.0040204
                 153,            0.022884,            0.014054,           0.0093546,             0.71722,             0.65948,             0.73583,             0.48882,            0.023534,           0.0079777,             0.02905,           0.0039808,           0.0039808,           0.0039808
                 154,            0.023205,            0.014059,           0.0088419,             0.66485,             0.71015,             0.74006,             0.49153,            0.023508,           0.0079656,             0.02886,           0.0039412,           0.0039412,           0.0039412
                 155,            0.022945,            0.014115,           0.0085492,             0.65546,              0.7141,             0.74346,             0.49452,            0.023584,           0.0079811,            0.028822,           0.0039016,           0.0039016,           0.0039016
                 156,            0.022667,            0.014145,           0.0092969,             0.69428,             0.69662,             0.74175,             0.49541,            0.023552,           0.0079767,            0.028833,            0.003862,            0.003862,            0.003862
                 157,            0.022697,            0.013989,           0.0086237,             0.72662,             0.68101,             0.74178,             0.49422,            0.023464,           0.0080098,            0.029083,           0.0038224,           0.0038224,           0.0038224
